Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Customer Lifetime Value
EN65835,Arizona,No,Premium,Bachelor,6/1/2011,Employed,F,24964,Suburban,Married,185,0,84,0,2,Personal Auto,Personal L2,Offer2,Agent,888.0,SUV,Medsize,58753.88046
SB66770,Arizona,Yes,Premium,Master,1/26/11,Employed,M,60880,Rural,Married,119,25,89,0,2,Corporate Auto,Corporate L2,Offer1,Agent,109.906628,Two-Door Car,Medsize,14435.67365
GA79817,Arizona,No,Basic,Bachelor,5/2/2011,Unemployed,M,0,Suburban,Single,65,8,91,0,1,Corporate Auto,Corporate L2,Offer3,Call Center,468.0,Four-Door Car,Medsize,2369.111588
RI24911,Arizona,Yes,Basic,College,6/2/2011,Employed,M,60920,Urban,Single,64,10,61,0,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize,7507.455372
HZ28612,Washington,No,Basic,College,5/1/2011,Employed,F,59782,Suburban,Married,70,29,51,0,9,Personal Auto,Personal L2,Offer3,Branch,336.0,Four-Door Car,Small,5626.572446
PG48617,California,No,Basic,High School or Below,3/1/2011,Employed,M,46267,Urban,Married,72,4,73,0,1,Personal Auto,Personal L3,Offer2,Call Center,231.969205,Four-Door Car,Medsize,2895.522489
JD50909,Arizona,No,Basic,Bachelor,1/17/11,Employed,F,80681,Suburban,Married,74,31,12,0,1,Corporate Auto,Corporate L3,Offer2,Agent,355.2,Four-Door Car,Medsize,3008.099115
NM44679,California,No,Extended,College,2/25/11,Unemployed,M,0,Suburban,Married,136,33,21,0,5,Personal Auto,Personal L2,Offer1,Call Center,979.2,SUV,Medsize,9783.628981
XN42396,California,No,Basic,Bachelor,1/20/11,Employed,M,29697,Rural,Married,64,6,43,0,2,Personal Auto,Personal L2,Offer3,Agent,147.128736,Four-Door Car,Medsize,7540.584824
CS70768,California,No,Basic,High School or Below,1/24/11,Unemployed,F,0,Suburban,Single,64,27,1,0,2,Personal Auto,Personal L3,Offer1,Branch,460.8,Four-Door Car,Medsize,6763.181497
TY59231,California,Yes,Extended,Bachelor,3/2/2011,Employed,F,48567,Suburban,Single,130,12,15,0,1,Personal Auto,Personal L3,Offer2,Agent,624.0,SUV,Medsize,5015.009472
GC42314,Arizona,No,Basic,Doctor,2/27/11,Unemployed,M,0,Suburban,Married,111,3,59,0,9,Personal Auto,Personal L3,Offer3,Web,672.91665,SUV,Medsize,8296.176276
YC69616,Arizona,Yes,Basic,College,1/24/11,Retired,F,14030,Suburban,Married,72,11,3,0,1,Personal Auto,Personal L3,Offer2,Branch,345.6,Two-Door Car,Large,2719.506996
WH77063,Arizona,No,Premium,High School or Below,9/2/2011,Employed,F,74163,Suburban,Married,108,14,63,0,1,Personal Auto,Personal L1,Offer4,Agent,518.4,Four-Door Car,Small,4351.550504
CC30924,Oregon,No,Premium,College,2/26/11,Employed,M,30110,Urban,Married,159,20,71,0,1,Corporate Auto,Corporate L3,Offer4,Agent,466.436375,Sports Car,Small,6262.663307
ZZ22047,Washington,Yes,Basic,Bachelor,1/13/11,Employed,M,67798,Suburban,Divorced,69,1,78,0,9,Corporate Auto,Corporate L3,Offer1,Agent,331.2,Four-Door Car,Medsize,5548.031892
PG43749,Oregon,No,Premium,College,8/2/2011,Disabled,F,17572,Suburban,Married,110,0,35,0,1,Personal Auto,Personal L1,Offer3,Call Center,639.769748,Two-Door Car,Medsize,4318.433036
ZK71157,California,No,Basic,Bachelor,2/27/11,Employed,F,40833,Urban,Single,69,13,84,0,6,Corporate Auto,Corporate L1,Offer2,Call Center,294.591676,Four-Door Car,Medsize,5358.163394
RV90030,California,No,Basic,High School or Below,11/1/2011,Unemployed,F,0,Suburban,Single,116,0,8,2,8,Special Auto,Special L2,Offer1,Agent,1148.461246,Sports Car,Medsize,8473.46358
DV62119,Arizona,No,Extended,Doctor,2/28/11,Employed,F,76114,Suburban,Married,88,6,97,0,1,Personal Auto,Personal L3,Offer2,Agent,422.4,Four-Door Car,Medsize,3548.148767
IX35050,Arizona,Yes,Basic,Bachelor,1/31/11,Employed,M,76358,Rural,Married,66,25,3,0,2,Special Auto,Special L3,Offer3,Agent,86.461582,Four-Door Car,Medsize,23594.6802
LR27773,California,No,Basic,Bachelor,2/21/11,Employed,F,43671,Urban,Married,67,6,67,0,3,Corporate Auto,Corporate L2,Offer3,Agent,190.649902,Four-Door Car,Medsize,5329.075482
QQ53360,Nevada,No,Extended,College,1/13/11,Unemployed,M,0,Suburban,Married,92,26,11,4,1,Personal Auto,Personal L2,Offer3,Agent,657.290491,Two-Door Car,Medsize,2739.05724
AX38728,California,No,Extended,College,2/19/11,Unemployed,M,0,Suburban,Married,81,14,75,0,1,Personal Auto,Personal L2,Offer1,Branch,388.8,Two-Door Car,Medsize,2966.944264
KQ50003,Arizona,No,Extended,High School or Below,11/2/2011,Employed,F,46546,Urban,Divorced,99,9,64,0,2,Special Auto,Special L1,Offer1,Branch,319.105565,Four-Door Car,Medsize,27890.0576
JE21522,California,No,Extended,Bachelor,2/26/11,Employed,M,39266,Suburban,Married,80,33,31,0,2,Personal Auto,Personal L2,Offer4,Branch,384.0,Four-Door Car,Medsize,9587.33234
BI34376,California,No,Extended,Doctor,10/1/2011,Employed,F,45703,Suburban,Married,98,17,36,0,9,Personal Auto,Personal L1,Offer4,Agent,470.4,Two-Door Car,Small,7879.928952
YP17198,Oregon,No,Basic,Master,5/1/2011,Employed,M,99241,Rural,Single,70,22,27,0,2,Corporate Auto,Corporate L3,Offer2,Branch,48.304125,Four-Door Car,Large,22325.82746
QI60335,Nevada,No,Basic,College,12/1/2011,Unemployed,F,0,Suburban,Single,66,4,83,0,2,Personal Auto,Personal L1,Offer3,Branch,316.8,Four-Door Car,Medsize,11308.47178
JJ24476,Arizona,No,Basic,Master,2/25/11,Employed,F,52391,Suburban,Married,71,9,32,0,3,Personal Auto,Personal L2,Offer2,Web,409.763267,Two-Door Car,Medsize,5717.221919
SQ35375,Oregon,No,Basic,Doctor,2/20/11,Employed,F,22241,Suburban,Married,63,1,1,0,6,Personal Auto,Personal L3,Offer2,Web,343.159148,Four-Door Car,Medsize,5054.334903
BU70181,Arizona,Yes,Basic,Master,1/31/11,Employed,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.041566,Four-Door Car,Small,5757.442258
KT46283,California,Yes,Basic,College,12/2/2011,Employed,M,58089,Suburban,Married,118,31,83,0,1,Corporate Auto,Corporate L1,Offer1,Agent,566.4,SUV,Medsize,4686.469674
OY38576,Oregon,No,Basic,High School or Below,11/1/2011,Employed,F,71416,Suburban,Divorced,116,10,0,0,3,Corporate Auto,Corporate L3,Offer2,Agent,556.8,SUV,Medsize,9277.233839
SE64365,California,No,Premium,High School or Below,9/2/2011,Employed,M,35830,Suburban,Married,118,4,50,1,1,Corporate Auto,Corporate L2,Offer1,Agent,597.259924,Four-Door Car,Small,4674.705262
CV29889,California,Yes,Basic,College,1/31/11,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L3,Offer1,Branch,425.266308,Four-Door Car,Medsize,2393.915369
LR49944,Nevada,No,Basic,Doctor,2/25/11,Employed,F,35159,Rural,Married,68,0,73,0,1,Personal Auto,Personal L3,Offer1,Agent,150.501033,Two-Door Car,Large,2744.73543
EH16250,Arizona,No,Basic,Bachelor,2/26/11,Employed,M,25290,Suburban,Single,66,0,4,0,2,Personal Auto,Personal L1,Offer3,Call Center,382.085897,Four-Door Car,Medsize,7705.283329
TZ65661,California,No,Basic,College,1/15/11,Employed,F,32437,Suburban,Married,69,25,96,0,1,Corporate Auto,Corporate L1,Offer4,Branch,331.2,Two-Door Car,Small,2742.797845
JX26859,California,Yes,Extended,Doctor,1/2/2011,Employed,M,31278,Suburban,Married,92,24,95,4,1,Personal Auto,Personal L3,Offer1,Branch,441.6,Two-Door Car,Medsize,3528.044252
FY40655,Washington,No,Premium,Master,1/20/11,Unemployed,M,0,Suburban,Single,181,22,96,0,2,Personal Auto,Personal L3,Offer1,Call Center,868.8,SUV,Medsize,39400.1854
YG87460,Arizona,No,Basic,College,1/16/11,Unemployed,M,0,Urban,Married,71,8,59,1,1,Personal Auto,Personal L2,Offer3,Branch,244.587596,Four-Door Car,Medsize,2444.741307
XP50892,Oregon,No,Basic,High School or Below,3/2/2011,Employed,M,92539,Rural,Single,100,1,55,0,1,Corporate Auto,Corporate L3,Offer2,Branch,25.713622,SUV,Medsize,3940.123576
OH83248,California,No,Premium,Master,1/1/2011,Employed,M,57394,Urban,Married,106,8,11,0,3,Personal Auto,Personal L3,Offer4,Call Center,316.492058,Four-Door Car,Medsize,8458.531323
SG46572,California,No,Basic,High School or Below,2/1/2011,Unemployed,F,0,Suburban,Divorced,102,10,85,0,2,Personal Auto,Personal L3,Offer2,Agent,489.6,Sports Car,Medsize,29830.38714
EA87824,Arizona,No,Extended,College,7/2/2011,Employed,F,96832,Suburban,Married,85,19,23,0,3,Personal Auto,Personal L2,Offer1,Branch,408.0,Two-Door Car,Small,6864.647514
QR57598,Oregon,No,Basic,Bachelor,2/17/11,Unemployed,M,0,Suburban,Single,73,30,29,0,3,Personal Auto,Personal L1,Offer1,Agent,751.927019,Four-Door Car,Small,4927.068115
CP93345,California,No,Basic,Bachelor,2/15/11,Employed,F,85300,Urban,Divorced,73,8,39,2,1,Corporate Auto,Corporate L3,Offer2,Call Center,319.867735,Four-Door Car,Large,2857.992725
EH41854,Washington,No,Extended,High School or Below,10/2/2011,Unemployed,F,0,Suburban,Single,96,12,35,1,2,Personal Auto,Personal L1,Offer3,Branch,844.481918,Two-Door Car,Medsize,23706.11337
SB60942,Arizona,No,Basic,College,1/18/11,Employed,M,88082,Urban,Married,61,10,45,1,2,Personal Auto,Personal L1,Offer4,Branch,218.779614,Two-Door Car,Medsize,7258.634662
EY27917,Oregon,No,Basic,Master,10/1/2011,Employed,M,30092,Rural,Married,108,33,90,0,9,Personal Auto,Personal L1,Offer2,Call Center,192.265438,SUV,Large,8532.989751
WF73839,Arizona,No,Basic,College,4/2/2011,Employed,F,49937,Urban,Married,64,1,45,0,2,Personal Auto,Personal L2,Offer3,Web,302.586407,Two-Door Car,Medsize,7597.910661
KF75098,Arizona,No,Basic,Bachelor,1/25/11,Employed,M,86148,Suburban,Married,65,19,51,2,4,Personal Auto,Personal L3,Offer4,Agent,312.0,Four-Door Car,Small,5129.738992
YU39743,Oregon,No,Extended,College,1/30/11,Employed,M,29593,Suburban,Married,137,15,52,0,2,Personal Auto,Personal L3,Offer1,Call Center,657.6,Sports Car,Medsize,16159.54237
TN66124,California,No,Extended,High School or Below,3/1/2011,Employed,M,77627,Rural,Married,88,14,38,0,2,Corporate Auto,Corporate L2,Offer4,Web,205.169178,Two-Door Car,Medsize,10552.87837
RF35142,Nevada,Yes,Basic,Bachelor,12/1/2011,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Personal L1,Offer2,Call Center,424.330166,Four-Door Car,Medsize,8257.666512
NM18924,Oregon,No,Basic,High School or Below,2/14/11,Disabled,F,27587,Rural,Divorced,103,14,34,1,2,Corporate Auto,Corporate L3,Offer1,Call Center,241.141192,Sports Car,Medsize,30286.68586
HN10814,Arizona,No,Basic,Master,1/28/11,Employed,M,62113,Rural,Married,104,1,0,0,1,Personal Auto,Personal L3,Offer2,Web,5.894778,SUV,Medsize,4178.586494
LS51818,California,No,Basic,College,12/2/2011,Employed,F,37553,Suburban,Single,187,34,7,0,2,Personal Auto,Personal L3,Offer3,Agent,897.6,Luxury Car,Small,22217.96796
RS85283,Oregon,No,Premium,Bachelor,1/16/11,Employed,M,56044,Suburban,Married,182,27,32,0,2,Personal Auto,Personal L3,Offer1,Agent,952.849701,SUV,Small,21776.5819
AZ50087,California,No,Extended,Bachelor,2/21/11,Employed,M,32787,Suburban,Married,86,3,86,0,7,Personal Auto,Personal L2,Offer2,Branch,568.58486,Two-Door Car,Large,6807.271588
WA60547,California,No,Premium,College,2/13/11,Employed,F,64195,Urban,Divorced,158,0,27,4,6,Personal Auto,Personal L1,Offer1,Branch,618.288849,SUV,Medsize,11971.97765
VQ76590,Arizona,Yes,Basic,Bachelor,2/24/11,Retired,M,22828,Suburban,Married,106,11,54,0,2,Personal Auto,Personal L1,Offer1,Agent,508.8,SUV,Medsize,16473.16905
WI47826,Oregon,No,Basic,College,2/17/11,Employed,F,95765,Suburban,Married,61,14,80,0,3,Personal Auto,Personal L3,Offer1,Branch,352.089317,Four-Door Car,Medsize,4935.642812
PH97342,Arizona,Yes,Basic,High School or Below,1/15/11,Disabled,F,18495,Suburban,Married,113,10,15,0,2,Personal Auto,Personal L2,Offer1,Branch,542.4,SUV,Large,26197.41498
NW54906,Oregon,Yes,Basic,College,1/21/11,Employed,M,28432,Suburban,Married,118,1,59,0,2,Personal Auto,Personal L3,Offer2,Branch,612.300581,SUV,Small,13869.92705
ZR20842,Arizona,No,Extended,College,1/23/11,Employed,M,94415,Urban,Married,127,6,53,1,1,Personal Auto,Personal L1,Offer1,Branch,492.770321,Sports Car,Medsize,5113.874718
ON39271,California,No,Basic,Master,2/21/11,Unemployed,M,0,Urban,Married,74,27,91,0,1,Personal Auto,Personal L2,Offer1,Branch,263.365432,Two-Door Car,Medsize,2738.001957
NY12562,Nevada,No,Basic,College,5/1/2011,Unemployed,F,0,Suburban,Single,64,20,4,0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,2224.089639
BW52697,California,No,Basic,College,1/1/2011,Employed,F,86132,Urban,Married,68,30,10,0,3,Personal Auto,Personal L3,Offer2,Call Center,301.437365,Two-Door Car,Medsize,5505.057003
WL42517,Washington,No,Basic,College,10/2/2011,Unemployed,F,0,Suburban,Single,107,17,81,0,1,Personal Auto,Personal L3,Offer1,Call Center,549.986128,SUV,Medsize,3747.060981
IU83998,Washington,No,Premium,Bachelor,1/1/2011,Unemployed,F,0,Suburban,Married,298,26,94,0,1,Personal Auto,Personal L3,Offer1,Branch,2145.6,Luxury Car,Medsize,11196.46002
XD86462,Oregon,No,Extended,College,4/2/2011,Employed,M,20676,Suburban,Single,79,28,27,0,7,Personal Auto,Personal L3,Offer3,Agent,379.2,Four-Door Car,Medsize,6063.19979
ED87136,Arizona,No,Basic,High School or Below,2/16/11,Unemployed,M,0,Suburban,Single,61,5,51,0,7,Personal Auto,Personal L2,Offer3,Call Center,439.2,Four-Door Car,Medsize,4242.69282
FR54989,Arizona,No,Extended,College,10/2/2011,Unemployed,M,0,Suburban,Single,76,11,38,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,547.2,Two-Door Car,Medsize,2710.918992
LD76400,California,No,Extended,Bachelor,1/31/11,Employed,F,42522,Suburban,Married,132,3,85,0,2,Corporate Auto,Corporate L1,Offer3,Agent,909.876614,SUV,Medsize,31316.61358
TO29918,California,No,Basic,High School or Below,1/19/11,Unemployed,F,0,Suburban,Divorced,116,34,82,2,1,Personal Auto,Personal L2,Offer1,Agent,1397.954723,Sports Car,Medsize,3833.066768
SG62327,Nevada,No,Basic,High School or Below,2/21/11,Employed,M,30622,Suburban,Married,68,22,86,0,2,Corporate Auto,Corporate L3,Offer1,Agent,326.4,Four-Door Car,Small,8111.651948
TK61994,Oregon,No,Extended,College,2/28/11,Disabled,F,18690,Rural,Married,80,10,63,0,5,Personal Auto,Personal L2,Offer1,Agent,18.192921,Four-Door Car,Medsize,6104.501453
QF74147,California,No,Basic,College,1/15/11,Employed,F,84574,Rural,Divorced,70,13,75,0,2,Special Auto,Special L2,Offer1,Call Center,167.459769,Four-Door Car,Medsize,8456.722498
IA96447,California,No,Premium,College,1/15/11,Employed,M,85019,Suburban,Married,167,26,92,0,1,Personal Auto,Personal L3,Offer2,Agent,801.6,Sports Car,Medsize,6673.737677
MN74944,Arizona,No,Extended,College,2/28/11,Employed,M,52210,Suburban,Married,80,6,74,0,9,Personal Auto,Personal L1,Offer1,Branch,384.0,Four-Door Car,Medsize,6285.15476
LO14234,California,No,Premium,High School or Below,10/1/2011,Unemployed,M,0,Suburban,Single,174,13,30,0,8,Personal Auto,Personal L2,Offer2,Agent,1724.234933,SUV,Medsize,12263.10529
OY20177,Oregon,No,Extended,High School or Below,2/17/11,Employed,M,52707,Suburban,Married,90,33,66,1,6,Corporate Auto,Corporate L3,Offer3,Branch,432.0,Four-Door Car,Medsize,7089.68396
LO90345,Oregon,No,Basic,College,2/24/11,Employed,F,22012,Rural,Married,185,5,69,0,5,Corporate Auto,Corporate L3,Offer2,Web,75.698305,Luxury SUV,Small,14472.583
QL93655,Oregon,No,Extended,High School or Below,12/1/2011,Employed,F,66538,Urban,Married,95,14,64,0,2,Personal Auto,Personal L3,Offer2,Agent,317.844812,Two-Door Car,Medsize,11473.48149
SD62061,Oregon,No,Basic,High School or Below,2/17/11,Employed,F,24860,Suburban,Married,73,2,35,0,8,Personal Auto,Personal L2,Offer4,Web,350.4,Four-Door Car,Large,5810.630529
BM27144,California,No,Basic,College,1/31/11,Employed,F,57446,Rural,Divorced,64,20,30,0,2,Personal Auto,Personal L3,Offer1,Agent,77.451706,Four-Door Car,Medsize,7653.283759
AQ94108,Oregon,No,Basic,College,2/26/11,Employed,F,56704,Rural,Married,71,33,50,0,2,Corporate Auto,Corporate L3,Offer1,Branch,84.715044,Four-Door Car,Medsize,8507.832473
PD19551,California,No,Basic,Bachelor,11/2/2011,Employed,F,37612,Suburban,Divorced,64,0,32,0,1,Personal Auto,Personal L2,Offer3,Call Center,307.2,Four-Door Car,Small,2537.969253
QG50480,Oregon,No,Basic,College,1/19/11,Unemployed,M,0,Rural,Married,62,18,75,0,3,Personal Auto,Personal L3,Offer1,Agent,135.851316,Two-Door Car,Medsize,4504.16329
UF27940,Washington,No,Basic,College,1/17/11,Employed,F,47199,Suburban,Married,100,3,65,3,1,Corporate Auto,Corporate L3,Offer2,Call Center,480.0,SUV,Medsize,3863.309585
ES66762,Oregon,Yes,Extended,Bachelor,2/27/11,Employed,F,72540,Suburban,Married,88,7,3,0,2,Personal Auto,Personal L1,Offer2,Call Center,631.743039,Two-Door Car,Medsize,10656.88195
TE35954,Arizona,Yes,Basic,College,2/15/11,Employed,M,56342,Suburban,Single,69,12,89,0,1,Personal Auto,Personal L2,Offer2,Call Center,331.2,Four-Door Car,Small,2674.730716
OV50124,Oregon,No,Basic,College,1/15/11,Unemployed,F,0,Suburban,Single,72,7,34,2,7,Personal Auto,Personal L3,Offer2,Agent,391.636628,Two-Door Car,Medsize,4936.888359
RJ57593,Arizona,Yes,Basic,Bachelor,2/19/11,Employed,M,71391,Urban,Married,67,29,39,0,2,Personal Auto,Personal L3,Offer2,Agent,284.000172,Four-Door Car,Medsize,8044.872393
QT63794,California,No,Basic,Bachelor,1/19/11,Employed,F,21150,Suburban,Married,116,8,1,0,4,Personal Auto,Personal L3,Offer4,Branch,833.417104,SUV,Medsize,9144.856285
ZV96574,California,No,Basic,High School or Below,1/16/11,Unemployed,F,0,Suburban,Married,62,31,30,1,2,Corporate Auto,Corporate L3,Offer2,Branch,297.6,Four-Door Car,Medsize,6940.069184
JG61793,Washington,No,Extended,High School or Below,1/18/11,Unemployed,M,0,Suburban,Single,98,4,43,2,1,Personal Auto,Personal L1,Offer1,Branch,705.6,Four-Door Car,Small,3046.248976
FP11025,California,No,Basic,Bachelor,10/1/2011,Employed,F,57938,Urban,Married,101,6,36,0,3,Special Auto,Special L3,Offer3,Branch,282.458203,SUV,Large,8072.245595
LM93586,Arizona,No,Extended,High School or Below,1/16/11,Employed,M,32314,Suburban,Married,92,7,80,0,1,Personal Auto,Personal L1,Offer2,Agent,662.4,Four-Door Car,Medsize,3677.784051
VW63894,California,No,Extended,Master,4/2/2011,Employed,M,75740,Rural,Married,98,8,42,0,3,Personal Auto,Personal L1,Offer3,Web,46.702524,Four-Door Car,Medsize,7870.360084
VH77056,Arizona,No,Basic,Bachelor,2/14/11,Employed,F,40658,Rural,Married,61,24,79,1,1,Personal Auto,Personal L2,Offer3,Call Center,38.379869,Four-Door Car,Medsize,2448.765205
QK37708,California,No,Basic,Bachelor,1/24/11,Employed,M,50146,Suburban,Married,116,6,44,1,1,Personal Auto,Personal L3,Offer2,Branch,759.291202,SUV,Medsize,4514.247473
SZ37147,California,No,Basic,Bachelor,1/21/11,Employed,M,41005,Suburban,Single,70,22,37,0,1,Personal Auto,Personal L1,Offer4,Branch,336.0,Four-Door Car,Medsize,2719.853023
QA41472,Oregon,No,Basic,Bachelor,1/14/11,Employed,M,34495,Urban,Married,113,27,29,0,2,Personal Auto,Personal L3,Offer3,Branch,389.673944,SUV,Medsize,13355.48637
SN63066,Nevada,No,Basic,Bachelor,1/23/11,Employed,F,28204,Urban,Married,182,30,84,0,1,Personal Auto,Personal L2,Offer2,Branch,532.089467,Luxury Car,Medsize,7154.094304
GX19342,California,No,Premium,High School or Below,1/28/11,Unemployed,F,0,Suburban,Single,116,3,97,0,3,Personal Auto,Personal L3,Offer1,Branch,1193.115879,Four-Door Car,Large,8491.465719
LZ34046,Oregon,Yes,Basic,Bachelor,1/31/11,Employed,M,76358,Rural,Married,66,25,3,0,2,Personal Auto,Personal L1,Offer3,Agent,86.461582,Four-Door Car,Medsize,23594.6802
AM88377,California,No,Basic,Bachelor,2/23/11,Retired,F,10180,Suburban,Married,65,17,99,0,4,Corporate Auto,Corporate L2,Offer1,Branch,455.654032,Two-Door Car,Medsize,5049.765309
EV39201,California,Yes,Extended,College,6/1/2011,Employed,F,93272,Urban,Married,95,3,54,0,1,Personal Auto,Personal L3,Offer2,Branch,281.110788,Four-Door Car,Medsize,3861.486269
HX21307,Oregon,Yes,Basic,College,2/25/11,Employed,M,72302,Suburban,Divorced,66,6,27,0,1,Personal Auto,Personal L3,Offer1,Agent,316.8,Two-Door Car,Medsize,2616.613903
LH33181,Arizona,No,Basic,Bachelor,10/1/2011,Unemployed,M,0,Suburban,Single,67,23,39,1,2,Personal Auto,Personal L3,Offer1,Agent,431.32052,Four-Door Car,Large,6274.564531
CO25601,Washington,No,Basic,High School or Below,1/1/2011,Unemployed,M,0,Suburban,Single,71,16,90,3,9,Personal Auto,Personal L2,Offer1,Agent,569.761582,Four-Door Car,Medsize,4112.625047
UI99151,Nevada,No,Basic,High School or Below,1/24/11,Medical Leave,M,28879,Suburban,Married,106,6,9,0,2,Personal Auto,Personal L3,Offer2,Web,763.2,Sports Car,Medsize,12023.75062
LK60013,Oregon,No,Basic,Bachelor,1/26/11,Employed,F,97431,Suburban,Married,74,1,72,0,3,Personal Auto,Personal L2,Offer3,Branch,355.2,Four-Door Car,Medsize,5969.55297
PD69398,Washington,No,Extended,College,2/26/11,Employed,M,62370,Rural,Married,94,4,10,2,2,Corporate Auto,Corporate L1,Offer2,Call Center,32.00761,Four-Door Car,Medsize,21710.27538
RU75129,Washington,No,Basic,High School or Below,1/2/2011,Employed,F,65431,Suburban,Married,69,7,90,0,1,Personal Auto,Personal L2,Offer4,Call Center,331.2,Four-Door Car,Medsize,2777.341885
KT91115,Oregon,No,Premium,Bachelor,12/1/2011,Employed,M,43367,Suburban,Divorced,118,6,20,0,1,Personal Auto,Personal L1,Offer2,Branch,1026.741926,Four-Door Car,Medsize,4690.793868
ER20865,California,No,Premium,Bachelor,1/2/2011,Employed,M,65605,Urban,Married,111,2,72,2,7,Corporate Auto,Corporate L2,Offer3,Branch,377.781658,Two-Door Car,Medsize,8652.652451
ZZ31825,Oregon,No,Basic,Bachelor,1/25/11,Unemployed,M,0,Suburban,Married,67,11,26,0,1,Personal Auto,Personal L2,Offer2,Branch,482.4,Four-Door Car,Medsize,2519.918897
JB23570,California,No,Extended,College,12/2/2011,Employed,M,94042,Suburban,Married,132,13,67,0,9,Corporate Auto,Corporate L2,Offer4,Branch,633.6,SUV,Medsize,10593.59462
EU38033,Nevada,No,Basic,High School or Below,3/2/2011,Employed,M,39188,Suburban,Divorced,74,9,2,0,3,Personal Auto,Personal L3,Offer3,Web,355.2,Four-Door Car,Medsize,5897.745369
MT78037,California,No,Basic,High School or Below,3/2/2011,Employed,M,55964,Suburban,Divorced,69,20,0,0,1,Personal Auto,Personal L2,Offer2,Branch,496.8,Four-Door Car,Medsize,2748.933734
QB82117,Oregon,Yes,Basic,High School or Below,1/24/11,Unemployed,M,0,Suburban,Married,119,9,8,0,3,Personal Auto,Personal L2,Offer2,Web,571.2,Sports Car,Medsize,9048.983447
TB56369,California,No,Premium,Bachelor,2/26/11,Employed,F,36551,Rural,Single,107,12,25,0,2,Personal Auto,Personal L3,Offer1,Branch,53.837271,Four-Door Car,Medsize,12472.1199
IQ24777,Nevada,Yes,Basic,Bachelor,2/19/11,Employed,M,71391,Urban,Married,67,29,39,0,2,Personal Auto,Personal L2,Offer2,Agent,284.000172,Four-Door Car,Medsize,8044.872393
PY51000,California,No,Premium,Bachelor,2/23/11,Employed,M,34148,Urban,Married,109,27,30,0,2,Personal Auto,Personal L2,Offer1,Agent,451.566751,Four-Door Car,Medsize,12883.81001
XJ40322,California,No,Basic,High School or Below,6/1/2011,Employed,F,61687,Rural,Single,67,13,17,0,3,Personal Auto,Personal L2,Offer4,Web,120.128737,Two-Door Car,Medsize,5294.28379
FN80010,California,No,Basic,Master,3/1/2011,Disabled,F,25404,Suburban,Divorced,112,16,4,0,1,Personal Auto,Personal L3,Offer1,Branch,578.175234,SUV,Medsize,4312.642503
GB14456,Nevada,No,Extended,High School or Below,2/13/11,Unemployed,M,0,Suburban,Single,130,9,43,0,2,Personal Auto,Personal L2,Offer1,Branch,1376.910777,SUV,Large,22337.1631
SF13677,California,No,Extended,High School or Below,4/2/2011,Unemployed,M,0,Suburban,Single,81,23,60,0,1,Personal Auto,Personal L3,Offer1,Call Center,583.2,Four-Door Car,Large,2843.149061
HL63895,Arizona,No,Basic,Master,1/18/11,Employed,M,30492,Urban,Married,61,32,68,0,2,Personal Auto,Personal L3,Offer1,Branch,171.38289,Four-Door Car,Medsize,7302.775082
SW94040,Oregon,No,Extended,College,2/22/11,Employed,F,21326,Suburban,Divorced,99,22,9,0,3,Personal Auto,Personal L1,Offer1,Agent,632.765462,Four-Door Car,Medsize,7756.174223
KB44286,Oregon,No,Basic,High School or Below,1/2/2011,Employed,F,64403,Rural,Single,198,11,86,0,2,Corporate Auto,Corporate L1,Offer1,Agent,111.173021,Luxury SUV,Small,46770.94705
SB83749,California,No,Basic,High School or Below,2/28/11,Employed,M,20355,Suburban,Married,61,4,6,1,3,Personal Auto,Personal L1,Offer2,Branch,439.2,Four-Door Car,Large,4717.62873
YK92080,California,No,Extended,College,1/2/2011,Employed,F,30509,Suburban,Single,88,15,76,0,1,Personal Auto,Personal L2,Offer1,Branch,442.964578,Four-Door Car,Medsize,3436.448003
KX82226,Arizona,No,Extended,High School or Below,2/20/11,Medical Leave,M,13512,Suburban,Single,92,14,24,0,1,Personal Auto,Personal L3,Offer4,Call Center,441.6,Two-Door Car,Medsize,3185.17031
CV72453,Oregon,No,Extended,High School or Below,2/25/11,Unemployed,F,0,Suburban,Single,125,6,44,0,1,Corporate Auto,Corporate L3,Offer1,Agent,900.0,SUV,Small,4512.204391
IN52645,Oregon,No,Premium,High School or Below,1/2/2011,Employed,F,64371,Suburban,Married,181,4,50,0,1,Personal Auto,Personal L3,Offer2,Web,868.8,SUV,Small,7344.836277
IH64929,California,No,Basic,High School or Below,2/24/11,Employed,M,87197,Urban,Single,63,35,45,0,3,Personal Auto,Personal L2,Offer2,Branch,247.402353,Two-Door Car,Medsize,4956.247235
